player_name_futbin,position,card_id,season,link,player_id,dob,club_name_futbin,club_id_futbin,league,league_id,nation,rating,pac,acceleration,sprint_speed,sho,positioning,finishing,shot_power,long_shots,volleys,penalties,pas,vision,crossing,fk_accuracy,short_passing,long_passing,curve,dri,agility,balance,reactions,ball_control,dribbling,composure,def,interceptions,heading_acc,def_awareness,standing_tackle,sliding_tackle,phy,jumping,stamina,strength,aggression,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,fb_team,club_id,player_id_ustat,player_name_ustat,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,club_name_ustat,npg,npxG,xGChain,xGBuildup
James Milner,CM,27162,23,/23/player/27162/james-milner,138412,04-01-1986,Liverpool,9,Premier League,13,England,78,52.0,54.0,51.0,70.0,71.0,62.0,82.0,70.0,76.0,89.0,80.0,77.0,83.0,75.0,81.0,79.0,81.0,76.0,64.0,72.0,84.0,80.0,76.0,81.0,77.0,78.0,65.0,77.0,80.0,78.0,74.0,62.0,76.0,70.0,86.0,NULL,NULL,NULL,NULL,NULL,NULL,Liverpool,48.0,489.0,James Milner,31.0,841.0,0.0,0.3870005868375301,1.0,1.6215140726417303,7.0,14.0,2.0,0.0,D M S,Liverpool,0.0,0.3870005868375301,5.001216296106577,3.942965844646096
Joël Veltman,CB,27160,23,/23/player/27160/joel-veltman,208004,15-01-1992,Brighton,1808,Premier League,13,Netherlands,78,64.0,63.0,64.0,49.0,55.0,50.0,60.0,41.0,38.0,42.0,67.0,55.0,72.0,34.0,74.0,73.0,51.0,70.0,66.0,66.0,79.0,72.0,67.0,79.0,79.0,79.0,74.0,80.0,81.0,78.0,76.0,78.0,75.0,73.0,82.0,NULL,NULL,NULL,NULL,NULL,NULL,Brighton,17.0,8780.0,Joël Veltman,31.0,2215.0,1.0,1.341551687568426,1.0,1.0200357679277658,14.0,10.0,6.0,0.0,D S,Brighton,1.0,1.341551687568426,10.263392875902356,9.933882373385131
Tyrone Mings,CB,27158,23,/23/player/27158/tyrone-mings,212419,13-03-1993,Aston Villa,2,Premier League,13,England,78,71.0,61.0,80.0,44.0,53.0,37.0,61.0,42.0,34.0,45.0,67.0,57.0,70.0,37.0,75.0,75.0,53.0,66.0,55.0,46.0,79.0,67.0,68.0,71.0,78.0,78.0,77.0,79.0,78.0,77.0,80.0,71.0,68.0,84.0,86.0,NULL,NULL,NULL,NULL,NULL,NULL,Aston Villa,11.0,1024.0,Tyrone Mings,35.0,3150.0,1.0,1.2113220421597362,2.0,1.1698964163661003,7.0,5.0,7.0,0.0,D,Aston Villa,1.0,1.2113220421597362,11.514379546046255,10.62966813147068
Douglas Luiz,CDM,27156,23,/23/player/27156/douglas-luiz,236499,09-05-1998,Aston Villa,2,Premier League,13,Brazil,78,67.0,69.0,65.0,68.0,58.0,64.0,80.0,76.0,58.0,44.0,77.0,77.0,69.0,63.0,82.0,80.0,80.0,77.0,74.0,74.0,77.0,82.0,75.0,81.0,73.0,77.0,62.0,75.0,75.0,68.0,70.0,66.0,76.0,66.0,74.0,NULL,NULL,NULL,NULL,NULL,NULL,Aston Villa,11.0,6122.0,Douglas Luiz,37.0,2947.0,6.0,3.191290902905166,6.0,4.567880779504776,34.0,45.0,6.0,1.0,M S,Aston Villa,6.0,3.191290902905166,15.93928093276918,11.555413709953427
Patrick Bamford,ST,27154,23,/23/player/27154/patrick-bamford,206534,05-09-1993,Leeds United,8,Premier League,13,England,78,82.0,75.0,87.0,78.0,83.0,82.0,80.0,69.0,69.0,74.0,68.0,74.0,59.0,59.0,73.0,63.0,68.0,73.0,67.0,66.0,80.0,78.0,70.0,77.0,42.0,47.0,75.0,50.0,27.0,20.0,77.0,68.0,89.0,76.0,65.0,NULL,NULL,NULL,NULL,NULL,NULL,Leeds United,45.0,822.0,Patrick Bamford,28.0,1523.0,4.0,9.774512918666003,2.0,1.0358418971300123,50.0,12.0,3.0,0.0,F S,Leeds,4.0,8.252171130850911,8.993882125243545,1.0394691042602062
Moussa Niakhaté,CB,27146,23,/23/player/27146/moussa-niakhate,225859,08-03-1996,Nott'm Forest,14,Premier League,13,France,78,79.0,69.0,87.0,42.0,49.0,37.0,49.0,38.0,39.0,74.0,65.0,58.0,66.0,36.0,73.0,70.0,41.0,67.0,66.0,52.0,77.0,65.0,69.0,73.0,79.0,79.0,81.0,77.0,81.0,75.0,78.0,77.0,69.0,83.0,79.0,NULL,NULL,NULL,NULL,NULL,NULL,Nott'm Forest,57.0,5989.0,Moussa Niakhate,14.0,1170.0,0.0,1.2535991268232465,0.0,0.0697230026125907,6.0,1.0,1.0,0.0,D,Nottingham Forest,0.0,1.2535991268232465,1.220473725348711,1.220473725348711
Ollie Watkins,ST,27142,23,/23/player/27142/ollie-watkins,221697,30-12-1995,Aston Villa,2,Premier League,13,England,78,84.0,77.0,89.0,76.0,79.0,81.0,75.0,71.0,64.0,67.0,68.0,74.0,67.0,56.0,72.0,59.0,63.0,74.0,79.0,73.0,77.0,73.0,75.0,66.0,46.0,44.0,81.0,40.0,46.0,36.0,77.0,92.0,88.0,79.0,52.0,NULL,NULL,NULL,NULL,NULL,NULL,Aston Villa,11.0,8865.0,Ollie Watkins,37.0,3150.0,15.0,17.486295863986015,6.0,3.674034003168345,85.0,30.0,4.0,0.0,F M S,Aston Villa,14.0,15.963956996798515,22.16256415843964,5.435315723530948
Nathan Aké,CB,27128,23,/23/player/27128/nathan-ake,208920,18-02-1995,Manchester City,10,Premier League,13,Netherlands,78,76.0,80.0,72.0,53.0,51.0,48.0,63.0,56.0,52.0,53.0,70.0,66.0,63.0,59.0,77.0,72.0,62.0,70.0,67.0,68.0,76.0,74.0,67.0,76.0,79.0,80.0,76.0,78.0,81.0,79.0,75.0,89.0,71.0,76.0,72.0,NULL,NULL,NULL,NULL,NULL,NULL,Manchester City,51.0,579.0,Nathan Aké,26.0,1874.0,1.0,1.3441827092319727,0.0,1.09055732563138,9.0,9.0,2.0,0.0,D S,Manchester City,1.0,1.3441827092319727,13.650609649717808,13.542976595461369
Maxwel Cornet,LM,27120,23,/23/player/27120/maxwel-cornet,215798,27-09-1996,West Ham,19,Premier League,13,Côte d'Ivoire,78,87.0,86.0,87.0,76.0,79.0,75.0,81.0,77.0,72.0,64.0,71.0,70.0,73.0,69.0,74.0,62.0,71.0,77.0,82.0,78.0,71.0,76.0,79.0,67.0,67.0,66.0,70.0,64.0,70.0,66.0,77.0,77.0,89.0,72.0,72.0,NULL,NULL,NULL,NULL,NULL,NULL,West Ham,97.0,3278.0,Maxwel Cornet,14.0,216.0,0.0,1.092479458078742,0.0,0.0942045971751213,9.0,1.0,0.0,0.0,M S,West Ham,0.0,1.092479458078742,1.4774199482053518,0.2907355017960071
Julián Álvarez,ST,27119,23,/23/player/27119/julian-alvarez,246191,31-01-2000,Manchester City,10,Premier League,13,Argentina,78,76.0,80.0,73.0,80.0,82.0,80.0,84.0,80.0,75.0,73.0,76.0,81.0,75.0,74.0,73.0,74.0,80.0,83.0,87.0,87.0,78.0,83.0,82.0,82.0,55.0,46.0,68.0,60.0,53.0,46.0,75.0,69.0,81.0,70.0,83.0,NULL,NULL,NULL,NULL,NULL,NULL,Manchester City,51.0,10846.0,Julián Álvarez,31.0,1416.0,9.0,7.753276175819337,0.0,2.0468210969120264,47.0,18.0,0.0,0.0,F M S,Manchester City,8.0,6.992107159458101,13.768698140978811,5.820535558275878
Pedro Neto,LW,26549,23,/23/player/26549/pedro-neto,238616,09-03-2000,Wolves,110,Premier League,13,Portugal,78,85.0,86.0,85.0,74.0,76.0,76.0,76.0,74.0,65.0,62.0,69.0,73.0,70.0,54.0,75.0,56.0,68.0,81.0,86.0,86.0,75.0,80.0,83.0,66.0,31.0,41.0,49.0,32.0,23.0,17.0,58.0,52.0,64.0,56.0,55.0,NULL,NULL,NULL,NULL,NULL,NULL,Wolves,98.0,6382.0,Pedro Neto,18.0,993.0,0.0,1.1067704604938626,0.0,2.707404026761651,17.0,20.0,1.0,0.0,D F M S,Wolverhampton Wanderers,0.0,1.1067704604938626,4.8898930717259645,2.710134506225586
Daniel Podence,LW,26548,23,/23/player/26548/daniel-podence,226766,21-10-1995,Wolves,110,Premier League,13,Portugal,78,83.0,94.0,74.0,64.0,76.0,66.0,66.0,56.0,57.0,63.0,73.0,79.0,68.0,42.0,76.0,71.0,75.0,85.0,92.0,93.0,77.0,83.0,86.0,78.0,33.0,21.0,42.0,42.0,30.0,29.0,50.0,65.0,74.0,30.0,67.0,NULL,NULL,NULL,NULL,NULL,NULL,Wolves,98.0,8291.0,Daniel Podence,32.0,1769.0,6.0,3.7195267919451,0.0,2.4171172585338354,43.0,37.0,5.0,0.0,F M S,Wolverhampton Wanderers,6.0,3.7195267919451,7.612551175057888,2.908089326694608
Saša Kalajdžić,ST,26547,23,/23/player/26547/sasa-kalajdzic,239901,07-07-1997,Wolves,110,Premier League,13,Austria,78,63.0,64.0,62.0,75.0,81.0,82.0,74.0,62.0,73.0,57.0,68.0,75.0,59.0,47.0,77.0,64.0,50.0,73.0,63.0,53.0,78.0,78.0,74.0,74.0,46.0,34.0,87.0,39.0,46.0,47.0,70.0,54.0,67.0,83.0,44.0,NULL,NULL,NULL,NULL,NULL,NULL,Wolves,98.0,8812.0,Sasa Kalajdzic,1.0,48.0,0.0,0.5194780230522156,0.0,0.0,1.0,0.0,0.0,0.0,F,Wolverhampton Wanderers,0.0,0.5194780230522156,0.0,0.0
Gabriel Martinelli,LM,26410,23,/23/player/26410/gabriel-martinelli,251566,18-06-2001,Arsenal,1,Premier League,13,Brazil,78,87.0,88.0,86.0,71.0,76.0,76.0,70.0,65.0,61.0,60.0,68.0,74.0,73.0,49.0,71.0,50.0,72.0,80.0,82.0,79.0,77.0,79.0,82.0,75.0,45.0,37.0,72.0,44.0,44.0,43.0,68.0,55.0,78.0,61.0,77.0,NULL,NULL,NULL,NULL,NULL,NULL,Arsenal,9.0,7752.0,Gabriel Martinelli,36.0,2851.0,15.0,10.538134384900331,5.0,9.349485490471125,79.0,59.0,3.0,0.0,F M S,Arsenal,15.0,10.538134384900331,25.15087455138564,9.32091725245118
Onuachu,ST,51881,23,/23/player/51881/onuachu,212382,28-05-1994,Southampton,17,Premier League,13,Nigeria,79,70.0,63.0,75.0,78.0,81.0,83.0,78.0,63.0,73.0,88.0,62.0,68.0,41.0,30.0,73.0,68.0,58.0,70.0,42.0,32.0,75.0,78.0,73.0,74.0,45.0,41.0,85.0,33.0,48.0,36.0,82.0,54.0,73.0,93.0,74.0,NULL,NULL,NULL,NULL,NULL,NULL,Southampton,79.0,11360.0,Paul Onuachu,11.0,390.0,0.0,0.9351124968379736,0.0,0.3200107105076313,11.0,4.0,0.0,0.0,F S,Southampton,0.0,0.9351124968379736,1.3479153849184513,0.1009839959442615
Danny Ings,ST,51279,23,/23/player/51279/danny-ings,195859,23-07-1992,West Ham,19,Premier League,13,England,79,72.0,75.0,69.0,82.0,83.0,82.0,82.0,82.0,76.0,81.0,70.0,72.0,66.0,70.0,75.0,61.0,72.0,78.0,76.0,77.0,82.0,79.0,77.0,82.0,45.0,46.0,78.0,38.0,45.0,34.0,70.0,77.0,73.0,69.0,67.0,NULL,NULL,NULL,NULL,NULL,NULL,West Ham,97.0,986.0,Danny Ings,35.0,1562.0,8.0,8.25754163786769,2.0,1.4635955430567265,42.0,15.0,4.0,0.0,F S,West Ham,6.0,6.735200669616461,8.444588728249073,0.8141068425029516
Leandro Trossard,LM,51276,23,/23/player/51276/leandro-trossard,207421,04-12-1994,Arsenal,1,Premier League,13,Belgium,79,82.0,89.0,76.0,78.0,77.0,78.0,78.0,79.0,74.0,75.0,76.0,76.0,77.0,69.0,77.0,74.0,82.0,81.0,92.0,85.0,72.0,78.0,81.0,82.0,30.0,18.0,65.0,30.0,31.0,18.0,62.0,78.0,74.0,60.0,47.0,NULL,NULL,NULL,NULL,NULL,NULL,Arsenal,9.0,7698.0,Leandro Trossard,36.0,2263.0,8.0,7.068454213440418,12.0,6.358577378094196,55.0,47.0,1.0,0.0,D F M S,Arsenal,8.0,7.068454213440418,16.329788200557232,6.749516544863582
Wout Weghorst,ST,51266,23,/23/player/51266/wout-weghorst,223689,07-08-1992,Manchester Utd,11,Premier League,13,Netherlands,79,60.0,56.0,63.0,77.0,80.0,78.0,84.0,70.0,80.0,71.0,60.0,67.0,42.0,48.0,75.0,51.0,40.0,69.0,62.0,42.0,81.0,79.0,65.0,81.0,52.0,34.0,90.0,44.0,63.0,38.0,86.0,79.0,84.0,89.0,85.0,NULL,NULL,NULL,NULL,NULL,NULL,Manchester Utd,52.0,7052.0,Wout Weghorst,17.0,798.0,0.0,2.2213404029607773,1.0,1.1286072386428714,14.0,14.0,1.0,0.0,F M S,Manchester United,0.0,2.2213404029607773,4.879476927220821,2.340124439448118
Jonny Evans,CB,27116,23,/23/player/27116/jonny-evans,169588,03-01-1988,Leicester City,95,Premier League,13,Northern Ireland,79,50.0,51.0,49.0,32.0,30.0,28.0,42.0,24.0,46.0,44.0,60.0,57.0,52.0,37.0,72.0,65.0,34.0,58.0,34.0,57.0,80.0,69.0,51.0,81.0,82.0,79.0,80.0,86.0,81.0,78.0,76.0,79.0,64.0,80.0,82.0,NULL,NULL,NULL,NULL,NULL,NULL,Leicester City,46.0,807.0,Jonny Evans,13.0,1057.0,0.0,0.0843219012022018,0.0,0.0927421972155571,1.0,1.0,1.0,0.0,D S,Leicester,0.0,0.0843219012022018,3.3804026413708925,3.2876606453210115
Angelo Ogbonna,CB,27115,23,/23/player/27115/angelo-ogbonna,183855,23-05-1988,West Ham,19,Premier League,13,Italy,79,49.0,42.0,55.0,40.0,44.0,25.0,68.0,46.0,30.0,39.0,60.0,55.0,51.0,36.0,70.0,69.0,51.0,62.0,52.0,51.0,77.0,63.0,61.0,75.0,82.0,82.0,82.0,82.0,83.0,80.0,68.0,81.0,33.0,81.0,78.0,NULL,NULL,NULL,NULL,NULL,NULL,West Ham,97.0,528.0,Angelo Ogbonna,16.0,1235.0,0.0,0.2092116959393024,0.0,0.4893949385732412,3.0,3.0,0.0,0.0,D S,West Ham,0.0,0.2092116959393024,1.701007179915905,1.1259163338690996
Takehiro Tomiyasu,RB,27114,23,/23/player/27114/takehiro-tomiyasu,232938,05-11-1998,Arsenal,1,Premier League,13,Japan,79,74.0,76.0,72.0,33.0,58.0,29.0,42.0,28.0,30.0,37.0,67.0,63.0,65.0,37.0,75.0,70.0,48.0,71.0,69.0,70.0,78.0,75.0,69.0,72.0,80.0,78.0,74.0,81.0,82.0,79.0,79.0,70.0,80.0,80.0,78.0,NULL,NULL,NULL,NULL,NULL,NULL,Arsenal,9.0,7931.0,Takehiro Tomiyasu,21.0,632.0,0.0,0.1446346025913953,1.0,0.6008766107261181,3.0,4.0,2.0,0.0,D S,Arsenal,0.0,0.1446346025913953,2.292558498680592,2.1198897063732147
Manuel Lanzini,CAM,27112,23,/23/player/27112/manuel-lanzini,188988,15-02-1993,West Ham,19,Premier League,13,Argentina,79,69.0,76.0,64.0,73.0,73.0,70.0,76.0,76.0,65.0,77.0,79.0,80.0,75.0,76.0,82.0,78.0,76.0,82.0,81.0,89.0,74.0,84.0,82.0,80.0,41.0,30.0,52.0,30.0,52.0,54.0,55.0,76.0,71.0,43.0,62.0,NULL,NULL,NULL,NULL,NULL,NULL,West Ham,97.0,535.0,Manuel Lanzini,10.0,230.0,1.0,0.6443301560357213,0.0,0.3371060192584991,3.0,1.0,0.0,0.0,M S,West Ham,1.0,0.6443301560357213,1.1725098555907607,0.1910736504942178
Pervis Estupiñán,LB,27107,23,/23/player/27107/pervis-estupinan,237942,21-01-1998,Brighton,1808,Premier League,13,Ecuador,79,81.0,80.0,82.0,46.0,52.0,48.0,41.0,42.0,38.0,69.0,69.0,56.0,79.0,36.0,79.0,62.0,59.0,72.0,74.0,73.0,74.0,71.0,73.0,65.0,75.0,75.0,75.0,69.0,80.0,79.0,76.0,72.0,79.0,75.0,74.0,NULL,NULL,NULL,NULL,NULL,NULL,Brighton,17.0,5136.0,Estupiñán,35.0,2707.0,1.0,2.3249325277283788,5.0,5.642439822666347,30.0,50.0,4.0,0.0,D S,Brighton,1.0,2.3249325277283788,18.086723536252972,12.671537213027475
Lewis Dunk,CB,27103,23,/23/player/27103/lewis-dunk,199915,21-11-1991,Brighton,1808,Premier League,13,England,79,44.0,34.0,52.0,51.0,30.0,42.0,72.0,67.0,24.0,36.0,62.0,58.0,32.0,69.0,77.0,75.0,52.0,63.0,38.0,38.0,82.0,70.0,63.0,79.0,80.0,80.0,81.0,83.0,79.0,76.0,79.0,74.0,66.0,84.0,82.0,NULL,NULL,NULL,NULL,NULL,NULL,Brighton,17.0,6048.0,Lewis Dunk,36.0,3240.0,1.0,2.040725097060204,0.0,0.8655232125893235,22.0,9.0,4.0,0.0,D,Brighton,1.0,2.040725097060204,14.347089774906635,14.096927545964718
Leandro Trossard,LM,27090,23,/23/player/27090/leandro-trossard,207421,04-12-1994,Brighton,1808,Premier League,13,Belgium,79,82.0,89.0,76.0,78.0,77.0,78.0,78.0,79.0,74.0,75.0,76.0,76.0,77.0,69.0,77.0,74.0,82.0,81.0,92.0,85.0,72.0,78.0,81.0,82.0,30.0,18.0,65.0,30.0,31.0,18.0,62.0,78.0,74.0,60.0,47.0,NULL,NULL,NULL,NULL,NULL,NULL,Brighton,17.0,7698.0,Leandro Trossard,36.0,2263.0,8.0,7.068454213440418,12.0,6.358577378094196,55.0,47.0,1.0,0.0,D F M S,Brighton,8.0,7.068454213440418,16.329788200557232,6.749516544863582
Granit Xhaka,CDM,27089,23,/23/player/27089/granit-xhaka,199503,27-09-1992,Arsenal,1,Premier League,13,Switzerland,79,49.0,48.0,50.0,64.0,62.0,50.0,90.0,75.0,50.0,63.0,79.0,77.0,71.0,77.0,84.0,84.0,76.0,69.0,49.0,61.0,73.0,80.0,66.0,67.0,69.0,71.0,62.0,71.0,68.0,68.0,80.0,33.0,82.0,79.0,91.0,NULL,NULL,NULL,NULL,NULL,NULL,Arsenal,9.0,204.0,Granit Xhaka,37.0,3039.0,7.0,5.785433189943433,7.0,4.802904064767063,40.0,46.0,4.0,0.0,M S,Arsenal,7.0,5.785433189943433,21.03214856982231,14.246417433023453
Michael Keane,CB,27088,23,/23/player/27088/michael-keane,207599,11-01-1993,Everton,7,Premier League,13,England,79,52.0,50.0,53.0,49.0,29.0,50.0,58.0,46.0,40.0,48.0,63.0,60.0,57.0,33.0,70.0,72.0,53.0,62.0,52.0,54.0,76.0,65.0,61.0,72.0,80.0,78.0,82.0,80.0,81.0,77.0,79.0,85.0,65.0,86.0,77.0,NULL,NULL,NULL,NULL,NULL,NULL,Everton,27.0,1653.0,Michael Keane,12.0,982.0,1.0,1.3261511586606505,2.0,1.0489701740443709,14.0,3.0,0.0,0.0,D S,Everton,1.0,1.3261511586606505,1.2412088364362717,0.4877051580697298
James Tarkowski,CB,27082,23,/23/player/27082/james-tarkowski,202695,19-11-1992,Everton,7,Premier League,13,England,79,55.0,49.0,60.0,45.0,43.0,40.0,63.0,38.0,40.0,52.0,65.0,65.0,59.0,53.0,67.0,73.0,54.0,62.0,55.0,53.0,78.0,65.0,60.0,78.0,81.0,80.0,82.0,81.0,81.0,79.0,80.0,85.0,67.0,84.0,83.0,NULL,NULL,NULL,NULL,NULL,NULL,Everton,27.0,1665.0,James Tarkowski,38.0,3420.0,1.0,3.02016625367105,1.0,3.46320622228086,31.0,15.0,6.0,0.0,D,Everton,1.0,3.02016625367105,6.181014558300376,5.973101237788796
Tyrell Malacia,LB,27072,23,/23/player/27072/tyrell-malacia,238041,17-08-1999,Manchester Utd,11,Premier League,13,Netherlands,79,85.0,84.0,85.0,56.0,60.0,50.0,65.0,62.0,59.0,46.0,66.0,60.0,71.0,48.0,76.0,56.0,46.0,77.0,84.0,89.0,75.0,75.0,78.0,65.0,76.0,77.0,58.0,74.0,81.0,81.0,76.0,86.0,83.0,72.0,77.0,NULL,NULL,NULL,NULL,NULL,NULL,Manchester Utd,52.0,10803.0,Tyrell Malacia,22.0,1376.0,0.0,0.1680589988827705,0.0,0.7472324855625629,5.0,9.0,6.0,0.0,D S,Manchester United,0.0,0.1680589988827705,6.350732691586018,5.691335782408714
Ben White,CB,27068,23,/23/player/27068/ben-white,231936,08-10-1997,Arsenal,1,Premier League,13,England,79,70.0,68.0,71.0,29.0,39.0,22.0,50.0,25.0,21.0,24.0,67.0,68.0,53.0,20.0,80.0,79.0,45.0,72.0,63.0,55.0,80.0,76.0,72.0,80.0,81.0,83.0,74.0,82.0,82.0,79.0,76.0,79.0,75.0,76.0,78.0,NULL,NULL,NULL,NULL,NULL,NULL,Arsenal,9.0,7298.0,Ben White,38.0,3094.0,2.0,0.9820632422342896,5.0,4.293553752824664,10.0,27.0,5.0,0.0,D S,Arsenal,2.0,0.9820632422342896,18.13298106752336,15.288546109572051
Conor Coady,CB,27062,23,/23/player/27062/conor-coady,202048,25-02-1993,Everton,7,Premier League,13,England,79,47.0,41.0,51.0,57.0,51.0,51.0,68.0,60.0,56.0,60.0,75.0,72.0,67.0,57.0,81.0,85.0,60.0,66.0,48.0,54.0,79.0,79.0,60.0,80.0,79.0,79.0,77.0,80.0,80.0,74.0,73.0,84.0,73.0,74.0,66.0,NULL,NULL,NULL,NULL,NULL,NULL,Everton,27.0,6851.0,Conor Coady,24.0,2096.0,1.0,0.6148279123008251,1.0,0.4616532074287534,4.0,4.0,2.0,0.0,D S,Everton,1.0,0.6148279123008251,2.696392798796296,2.2494612988084555
Oleksandr Zinchenko,LB,27060,23,/23/player/27060/oleksandr-zinchenko,227813,15-12-1996,Arsenal,1,Premier League,13,Ukraine,79,68.0,75.0,62.0,65.0,75.0,58.0,77.0,71.0,61.0,59.0,80.0,78.0,81.0,76.0,81.0,78.0,81.0,80.0,78.0,78.0,78.0,82.0,80.0,80.0,77.0,77.0,70.0,78.0,78.0,76.0,69.0,72.0,75.0,63.0,74.0,NULL,NULL,NULL,NULL,NULL,NULL,Arsenal,9.0,2958.0,Oleksandr Zinchenko,27.0,2179.0,1.0,1.1754031758755443,2.0,1.958403613418341,27.0,19.0,3.0,0.0,D S,Arsenal,1.0,1.1754031758755443,16.560254206880927,14.842034140601754
Davinson Sánchez,CB,27053,23,/23/player/27053/davinson-sanchez,220793,12-06-1996,Spurs,18,Premier League,13,Colombia,79,75.0,68.0,81.0,47.0,34.0,44.0,66.0,44.0,32.0,44.0,55.0,48.0,36.0,27.0,73.0,67.0,31.0,66.0,61.0,58.0,78.0,70.0,62.0,77.0,79.0,80.0,78.0,78.0,79.0,84.0,79.0,76.0,68.0,83.0,85.0,NULL,NULL,NULL,NULL,NULL,NULL,Spurs,80.0,6249.0,Davinson Sánchez,18.0,845.0,0.0,0.3042332818731665,0.0,0.1408364623785019,6.0,2.0,1.0,0.0,D S,Tottenham,0.0,0.3042332818731665,2.7923527229577303,2.643001276999712
Matty Cash,RB,27052,23,/23/player/27052/matty-cash,227174,07-08-1997,Aston Villa,2,Premier League,13,Poland,79,80.0,79.0,81.0,67.0,71.0,67.0,77.0,64.0,48.0,44.0,71.0,67.0,77.0,48.0,73.0,71.0,66.0,75.0,78.0,74.0,78.0,74.0,75.0,72.0,74.0,76.0,49.0,77.0,77.0,78.0,76.0,77.0,87.0,68.0,82.0,NULL,NULL,NULL,NULL,NULL,NULL,Aston Villa,11.0,8864.0,Matthew Cash,26.0,1822.0,0.0,0.1666707005351781,1.0,0.4675993956625461,7.0,8.0,4.0,0.0,D M S,Aston Villa,0.0,0.1666707005351781,5.986693885177374,5.530507996678352
Guaita,GK,27051,23,/23/player/27051/guaita,189690,10-01-1987,Crystal Palace,1799,Premier League,13,Spain,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.0,77.0,78.0,81.0,51.0,52.0,Crystal Palace,23.0,2190.0,Vicente Guaita,27.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GK,Crystal Palace,0.0,0.0,1.4098752001300454,1.4098752001300454
Danny Ings,ST,27044,23,/23/player/27044/danny-ings,195859,23-07-1992,Aston Villa,2,Premier League,13,England,79,72.0,75.0,69.0,82.0,83.0,82.0,82.0,82.0,76.0,81.0,70.0,72.0,66.0,70.0,75.0,61.0,72.0,78.0,76.0,77.0,82.0,79.0,77.0,82.0,45.0,46.0,78.0,38.0,45.0,34.0,70.0,77.0,73.0,69.0,67.0,NULL,NULL,NULL,NULL,NULL,NULL,Aston Villa,11.0,986.0,Danny Ings,35.0,1562.0,8.0,8.25754163786769,2.0,1.4635955430567265,42.0,15.0,4.0,0.0,F S,Aston Villa,6.0,6.735200669616461,8.444588728249073,0.8141068425029516
Dean Henderson,GK,27041,23,/23/player/27041/dean-henderson,233306,12-03-1997,Nott'm Forest,14,Premier League,13,England,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.0,78.0,77.0,82.0,55.0,56.0,Nott'm Forest,57.0,7702.0,Dean Henderson,18.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GK,Nottingham Forest,0.0,0.0,1.2316672131419182,1.2316672131419182
Ezri Konsa,CB,27036,23,/23/player/27036/ezri-konsa,227678,23-10-1997,Aston Villa,2,Premier League,13,England,79,78.0,72.0,82.0,39.0,50.0,34.0,58.0,32.0,35.0,38.0,62.0,58.0,51.0,38.0,74.0,72.0,37.0,71.0,63.0,69.0,80.0,74.0,70.0,79.0,80.0,79.0,78.0,83.0,80.0,79.0,76.0,78.0,72.0,78.0,75.0,NULL,NULL,NULL,NULL,NULL,NULL,Aston Villa,11.0,7726.0,Ezri Konsa Ngoyo,38.0,3325.0,0.0,0.8061013985425234,0.0,1.4513042895123365,8.0,8.0,6.0,0.0,D S,Aston Villa,0.0,0.8061013985425234,10.92092332523316,10.34645892959088
Callum Wilson,ST,27033,23,/23/player/27033/callum-wilson,196978,27-02-1992,Newcastle Utd,13,Premier League,13,England,79,81.0,78.0,83.0,78.0,84.0,83.0,78.0,68.0,71.0,83.0,66.0,70.0,61.0,45.0,72.0,62.0,63.0,77.0,73.0,72.0,80.0,79.0,77.0,79.0,42.0,40.0,78.0,38.0,40.0,27.0,76.0,70.0,69.0,80.0,74.0,NULL,NULL,NULL,NULL,NULL,NULL,Newcastle Utd,56.0,468.0,Callum Wilson,31.0,1911.0,18.0,18.856768030673265,5.0,3.567963434383273,73.0,24.0,4.0,0.0,F S,Newcastle United,15.0,16.57326026633382,15.5175623819232,1.810890594497323
Pablo Fornals,CAM,27022,23,/23/player/27022/pablo-fornals,226456,22-02-1996,West Ham,19,Premier League,13,Spain,79,67.0,68.0,66.0,74.0,76.0,72.0,77.0,78.0,72.0,55.0,79.0,80.0,77.0,70.0,81.0,78.0,71.0,79.0,76.0,75.0,75.0,83.0,79.0,77.0,69.0,71.0,50.0,70.0,72.0,71.0,71.0,50.0,84.0,67.0,71.0,NULL,NULL,NULL,NULL,NULL,NULL,West Ham,97.0,2335.0,Pablo Fornals,32.0,1507.0,3.0,1.7289359364658594,1.0,2.018738079816103,27.0,19.0,0.0,0.0,F M S,West Ham,3.0,1.7289359364658594,6.236087362281978,2.813890845514834
